Iteration,QD-Score,Coverage,Maximum,Average
335,1427772.6767238837,0.10402,6854.8231200850805,137.25943825455525
336,1428348.1439807108,0.10416,6854.8231200850805,137.13019815483014
337,1435084.0661712985,0.10448,6854.8231200850805,137.35490679281187
338,1439625.9289756967,0.10471,6854.8231200850805,137.4869572128447
339,1440307.604839845,0.1051,6854.8231200850805,137.04163699713084
340,1449353.5717060368,0.10575,6854.8231200850805,137.05471127243848
341,1449861.013093962,0.10583,6854.8231200850805,136.99905632561297
342,1451574.9948684436,0.10613,6854.8231200850805,136.77329641651215
343,1477069.010174991,0.10682,6854.8231200850805,138.276447310896
344,1484083.6674671622,0.10694,6854.8231200850805,138.7772271803967
345,1486881.1380601043,0.10717,6854.8231200850805,138.74042531119755
346,1489257.0328132357,0.10732,6854.8231200850805,138.7678934786839
347,1486832.262747643,0.10779,6854.8231200850805,137.9378664762634
348,1488353.5472423169,0.10786,6854.8231200850805,137.9893887671349
349,1492741.6145623669,0.10821,6854.8231200850805,137.94858280772266
350,1493069.1846429408,0.1083,6854.8231200850805,137.8641906410841
351,1493025.945630301,0.10854,6854.8231200850805,137.55536628250425
352,1497058.5543224653,0.10878,6854.8231200850805,137.6225918663785
353,1497821.7633891534,0.10878,6854.8231200850805,137.69275265574126
354,1501672.7831663599,0.10929,6854.8231200850805,137.4025787506963
355,1503722.1812556547,0.10967,6854.8231200850805,137.11335654742908
356,1506925.001753224,0.10986,6854.8231200850805,137.1677591255438
357,1508980.235484475,0.10993,6854.8231200850805,137.26737337255298
358,1511664.1405688967,0.11014,6854.8231200850805,137.24933181123086
359,1513257.156928209,0.11024,6854.8231200850805,137.2693357155487
360,1517726.1802107415,0.11033,6854.8231200850805,137.56242003179023
361,1519130.9250829571,0.11057,6854.8231200850805,137.39087682761664
362,1520060.4177697464,0.11075,6854.8231200850805,137.2515049904963
363,1519951.530162165,0.11083,6854.8231200850805,137.14260851413562
364,1520154.095657768,0.11088,6854.8231200850805,137.09903460116954
365,1520663.80937763,0.11114,6854.8231200850805,136.82416856016107
366,1521572.4607227957,0.11134,6854.8231200850805,136.6600018612175
367,1522198.9149346373,0.11148,6854.8231200850805,136.5445743572513
368,1522853.280406952,0.11153,6854.8231200850805,136.54203177682703
369,1524558.7817551715,0.11167,6854.8231200850805,136.52357676682828
370,1528525.273573291,0.11183,6854.8231200850805,136.68293602551114
371,1532662.8542895322,0.11197,6854.8231200850805,136.88156240863913
372,1538557.4948269543,0.11226,6854.8231200850805,137.05304603838894
373,1539549.1090589792,0.11229,6854.8231200850805,137.10473853940505
374,1538401.7549941323,0.11243,6854.8231200850805,136.83196255395646
375,1539019.2408089992,0.11254,6854.8231200850805,136.75308697432015
376,1540266.4458840915,0.11262,6854.8231200850805,136.76668849974175
377,1541351.9781971136,0.11296,6854.8231200850805,136.4511312143337
378,1544832.121636719,0.11323,6854.8231200850805,136.43311151079388
379,1547036.118374693,0.11332,6854.8231200850805,136.51924800341448
380,1548362.4637226162,0.11349,6854.8231200850805,136.43162073509703
381,1552005.076732942,0.11371,6854.8231200850805,136.4880025268615
382,1552671.0904499267,0.11375,6854.8231200850805,136.49855740219135
383,1556539.3268148862,0.11397,6854.8231200850805,136.57447809203177
384,1557321.3893756112,0.114,6854.8231200850805,136.60713941891328
385,1557056.0000678888,0.1141,6854.8231200850805,136.46415425660726
386,1558500.6206235462,0.11428,6854.8231200850805,136.37562308571458
387,1559036.4887987503,0.11433,6854.8231200850805,136.36285216467684
388,1559196.4534894968,0.11481,6854.8231200850805,135.80667655165027
389,1560677.8712059066,0.11499,6854.8231200850805,135.72292122844652
390,1561161.2893873986,0.11504,6854.8231200850805,135.70595352811185
391,1563129.0161775341,0.11548,6854.8231200850805,135.3592843936209
392,1562759.6179888952,0.11556,6854.8231200850805,135.23361180243123
393,1563123.8194738387,0.11562,6854.8231200850805,135.1949333570177
394,1561763.4506494608,0.11591,6854.8231200850805,134.73931935548794
395,1563465.6416063595,0.11593,6854.8231200850805,134.86290361479854
396,1563710.401689085,0.11601,6854.8231200850805,134.79100092139342
397,1564102.3423870006,0.11611,6854.8231200850805,134.70866784833353
398,1562304.4315832267,0.11626,6854.8231200850805,134.3802194721509
399,1562429.2944872968,0.11627,6854.8231200850805,134.37940091917923
400,1563269.7447639778,0.11649,6854.8231200850805,134.19776330706307
401,1566522.7640069926,0.11668,6854.8231200850805,134.2580359964855
402,1566367.504499481,0.1167,6854.8231200850805,134.22172275059822
403,1569421.0894323888,0.11703,6854.8231200850805,134.10416896799015
404,1569178.0670724132,0.11705,6854.8231200850805,134.06049270161583
405,1568966.492401012,0.11711,6854.8231200850805,133.97374198625326
406,1568428.870113563,0.1172,6854.8231200850805,133.8249889175395
407,1569395.5141838812,0.11732,6854.8231200850805,133.77050069756913
408,1584309.2446401247,0.11783,6854.8231200850805,134.45720484088304
409,1583432.8878807507,0.11792,6854.8231200850805,134.28026525447342
410,1582343.0014337099,0.11803,6854.8231200850805,134.0627807704575
411,1583611.5109535733,0.11804,6854.8231200850805,134.15888774598216
412,1585833.009553018,0.11811,6854.8231200850805,134.2674633437489
413,1585479.6073887725,0.11815,6854.8231200850805,134.19209542012464
414,1583663.4865853256,0.11831,6854.8231200850805,133.85711153624592
415,1585214.3925876087,0.11835,6854.8231200850805,133.94291445607172
416,1585588.2034743093,0.11838,6854.8231200850805,133.94054768324963
417,1585648.2730774665,0.11839,6854.8231200850805,133.9343080562097
418,1584267.964901504,0.11844,6854.8231200850805,133.76122635102197
419,1584351.5597188943,0.11847,6854.8231200850805,133.7344103755292
420,1586125.2037566206,0.11865,6854.8231200850805,133.68101169461616
421,1586694.0842296998,0.11869,6854.8231200850805,133.68388947929057
422,1585840.6289220564,0.11879,6854.8231200850805,133.4995057599172
423,1585842.5506514157,0.11879,6854.8231200850805,133.49966753526525
424,1586473.4046557003,0.11882,6854.8231200850805,133.51905442313586
425,1586547.4414391147,0.11884,6854.8231200850805,133.50281398848156
426,1586652.45530122,0.11884,6854.8231200850805,133.5116505638859
427,1587433.9104021739,0.11898,6854.8231200850805,133.42023116508437
428,1587862.235882774,0.11903,6854.8231200850805,133.40017103946687
429,1587630.6024608593,0.11914,6854.8231200850805,133.25756273802747
